epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2021.27,0.58327,1.04742,0.59753,1.01369,0.91878,0.85479,0.92578,0.77154,0.91512,0.85057,0.92057,0.73273,0.64622,1.23215,0.55702,1.07951,0.00052722,0.00052722,0.00052722
44,2068.3,0.58437,1.09462,0.60029,1.01485,0.89682,0.87005,0.92514,0.76522,0.89185,0.86477,0.92098,0.72195,0.63034,1.15623,0.55843,1.04331,0.00051813,0.00051813,0.00051813
45,2115.86,0.5763,1.0477,0.58371,1.01002,0.90024,0.83787,0.88875,0.74348,0.8943,0.83329,0.88459,0.69868,0.64062,1.10017,0.6048,1.04419,0.00050904,0.00050904,0.00050904
46,2163,0.57107,0.99602,0.56899,1.01126,0.90856,0.88478,0.92841,0.77721,0.90421,0.87092,0.91681,0.74328,0.60675,1.04571,0.50395,1.02188,0.00049995,0.00049995,0.00049995
47,2210.26,0.56365,1.0309,0.57644,1.00183,0.91129,0.90359,0.92687,0.7912,0.90822,0.89873,0.91921,0.7469,0.5892,1.04052,0.49201,1.00809,0.00049086,0.00049086,0.00049086
48,2258.72,0.56878,1.03556,0.57227,1.00153,0.91924,0.87452,0.92347,0.78731,0.92067,0.86921,0.91996,0.74262,0.59447,1.15408,0.50483,1.01444,0.00048177,0.00048177,0.00048177
49,2305.58,0.5832,1.07273,0.57849,1.00861,0.93229,0.89138,0.93168,0.79831,0.92169,0.87713,0.92376,0.76093,0.60172,1.0828,0.50851,1.01714,0.00047268,0.00047268,0.00047268
50,2354.02,0.55101,1.01695,0.56212,0.99796,0.91127,0.88764,0.93251,0.78789,0.90161,0.87767,0.92112,0.75516,0.58382,1.03568,0.4965,1.00383,0.00046359,0.00046359,0.00046359
51,2400.51,0.56452,1.03245,0.55551,0.99845,0.93926,0.8928,0.92934,0.78972,0.93381,0.88034,0.91958,0.75022,0.58129,1.04473,0.4793,0.99014,0.0004545,0.0004545,0.0004545
52,2448.28,0.5579,0.99894,0.55325,1.00287,0.91059,0.88881,0.9312,0.8009,0.90306,0.87431,0.92364,0.7571,0.58498,1.07734,0.51044,1.00665,0.00044541,0.00044541,0.00044541
